sample_id,temperature_C,humidity_percent,load_current_A,distance_from_line_m,vertical_distance_m,E_field_V_m,H_field_A_m,is_outlier,total_distance,log_distance,E_H_ratio,power_density
1,0.36501461633667054,-0.015758827438159546,-1.0921762634464018,1.3859517974789184,9.48875194021393,-0.1262048712844044,-0.5844196203896049,False,166.7091576381287,5.119966953654648,51524.44512281672,2759.804725247277
2,-0.11460691900796144,0.9616257099382562,0.4421272937636868,-0.13464169170051102,0.0,0.41243111556343603,0.7234651308355543,False,16.762860182866365,2.877109770930021,2909.7553264921903,176901.83456507055
3,0.4790508736259864,-0.3977512039539626,-1.2176606800157541,1.6475845881974733,0.0,-0.5776531559045397,-0.5540792245404582,False,192.0642827760769,5.263023204827564,7135.24067458319,1181.641225242828
4,1.1402269249893724,0.3272675162343088,0.6074418618918928,1.5811975156122429,0.0,-0.6419834611833376,-0.4482645910220536,False,185.5343890149683,5.228615613587017,1587.9401361413068,1649.0358915514105
5,-0.18703530516332068,0.3055941524873418,-0.042618663375484,0.7962918480842616,0.0,-0.5325856042236299,-0.33017446946326207,False,108.33034277735774,4.694373966695825,2234.922743094497,6475.459971175978
6,-0.18702290424169002,0.7918874380976457,-0.3992791384473786,-0.21991783000664228,0.0,0.5372357924652884,0.6654084433029367,False,8.375020475342874,2.2380487558906625,3374.9678362275595,187890.0869686205
7,1.182663887890953,-1.1305634006218064,-0.5405188212239475,0.8905002385195141,0.0,-0.5040127277472929,-0.45829668189993644,False,117.59676705231664,4.775729226936744,4552.628818623724,4204.649603363446
8,0.5694993788088667,-1.128800131295104,-0.42104688305179055,1.550467290666112,0.0,-0.5993278539973552,-0.553851907518608,False,182.5117357130686,5.212278620289212,6051.394140002538,1008.636281734021
9,-0.36478153253963186,-0.3900718420471853,1.4953736447250243,-0.29574591833604214,0.0,0.8836927196356009,2.1260927881218086,False,0.9164996878319254,0.6505004429539958,2017.7761175340806,510819.90761979844
10,0.39964362820606836,-0.11885202668518467,0.009235386505600714,-0.2570156681691887,3.119656628358279,1.8946169747607318,1.4154153902137672,False,5.9992118242880395,1.7450246913914365,4432.696787203772,617201.0269690452
11,-0.3602066994324834,0.03858130498216698,-1.5816458623584817,1.6595700294568367,0.0,-0.514686083425407,-0.5835772244809104,False,193.2431818456687,5.269110888738144,17612.02502050151,983.4970239831891
12,-0.3619530801532139,-0.6671295567011724,0.3026011299825898,-0.2385640798005649,0.0,0.7720592936388271,1.0866345695734863,False,6.540958127721058,2.0203492465888706,3018.1922529438075,295694.7669809157
13,0.17259157000197023,-1.2064280782777956,0.6827871825713663,0.42150124996034827,0.0,-0.4093351575294996,-0.19376615217777174,False,71.46559346536631,4.283111876323775,2515.6218798803184,15612.87876337445
14,-1.4553388233249498,1.266225504564119,-0.3131052986647682,0.6500112604439784,0.0,-0.576351311984654,-0.3908032098333047,False,93.94204910200004,4.553266696016445,2167.8026796724944,3959.335227168069
15,-1.3130620756352762,-0.40819798758044223,0.701089959846741,-0.14784345852122655,0.0,0.3318518780436367,0.8461578767372806,False,15.464322207908578,2.8011957493513964,2477.7141616995305,179306.8719057087
16,-0.4348865605124495,0.8273339470499362,-0.31944344821947457,-0.1395274195008178,0.0,0.3081863014786999,0.30433615441555356,False,16.282295484961676,2.8496825951182947,3835.142197406918,110702.46249304316
