sample_id,temperature_C,humidity_percent,load_current_A,distance_from_line_m,vertical_distance_m,E_field_V_m,H_field_A_m,is_outlier,total_distance,log_distance,E_H_ratio,power_density,distance_from_line_m_log,E_field_V_m_log,H_field_A_m_log
1,29.96714153011233,50.647558157697816,535.4434050547526,166.32983989005925,11.239555265298272,11924.681191892523,0.2314363529587392,False,166.7091576381287,5.119966953654648,51524.44512281672,2759.804725247277,5.119966953654648,9.38644943713494,0.2081812547083478
2,23.617356988288154,84.77244759461296,1093.5031738208304,16.762860182866365,0.0,22687.906941985908,7.797186184579178,False,16.762860182866365,2.877109770930021,2909.7553264921903,176901.83456507055,2.877109770930021,10.02963140305625,2.174431918600303
3,31.476885381006923,37.31048649771722,489.801977603607,192.0642827760769,0.0,2903.672717700916,0.4069471115113943,False,192.0642827760769,5.263023204827564,7135.24067458319,1181.641225242828,5.263023204827564,7.974076001218348,0.3414221878816069
4,40.23029856408026,62.62415038330621,1153.631698733491,185.5343890149683,0.0,1618.200496767185,1.019055361091427,False,185.5343890149683,5.228615613587017,1587.9401361413068,1649.0358915514105,5.228615613587017,7.389687785891015,0.7026297590099668
5,22.65846625276664,61.86743579113904,917.1904647221996,108.33034277735774,0.0,3804.2293915769615,1.7021738976922514,False,108.33034277735774,4.694373966695825,2234.922743094497,6475.459971175978,4.694373966695825,8.244131555358226,0.9940565963465049
6,22.658630430508197,78.8461212222702,787.4652474982086,8.375020475342874,0.0,25181.800675346083,7.461344380847708,False,8.375020475342874,2.2380487558906625,3374.9678362275595,187890.0869686205,2.2380487558906625,10.133916527598474,2.1355080712589194
7,40.79212815507391,11.724717301450315,736.0932850592962,117.59676705231664,0.0,4375.183296168607,0.9610225032275792,False,117.59676705231664,4.775729226936744,4552.628818623724,4204.649603363446,4.775729226936744,8.383932229917603,0.6734660225321407
8,32.67434729152909,11.786280962957324,779.5478425861154,182.5117357130686,0.0,2470.5607936289107,0.4082620773126066,False,182.5117357130686,5.212278620289212,6051.394140002538,1008.636281734021,5.212278620289212,7.812605130311742,0.34235637486995857
9,20.30525614065048,37.57860755549277,1476.591912883642,0.9164996878319254,0.0,32104.83257605557,15.910997399213294,False,0.9164996878319254,0.6505004429539958,2017.7761175340806,510819.90761979844,0.6505004429539958,10.376792992801274,2.827964143974933
10,30.425600435859646,47.04811096831824,936.0509170428876,4.726042857641416,3.695275554057367,52305.4991483589,11.79992614578481,False,5.9992118242880395,1.7450246913914365,4432.696787203772,617201.0269690452,1.7450246913914365,10.86487590903157,2.549439401048364
11,20.365823071875376,52.54481654466656,357.4126041071289,193.2431818456687,0.0,4161.904310954729,0.2363093791931938,False,193.2431818456687,5.269110888738144,17612.02502050151,983.4970239831891,5.269110888738144,8.333968261332611,0.21213063450459074
12,20.34270246429743,27.905276825716253,1042.7544557261651,6.540958127721058,0.0,29874.131704598494,9.898020464822403,False,6.540958127721058,2.0203492465888706,3018.1922529438075,295694.7669809157,2.0203492465888706,10.30478169774622,2.388581164010346
13,27.419622715660346,9.07594024577156,1181.0364401475367,71.46559346536631,0.0,6267.065915612478,2.491258106042851,False,71.46559346536631,4.283111876323775,2515.6218798803184,15612.87876337445,4.283111876323775,8.743223119631924,1.2502621600913393
14,5.86719755342202,95.40739619121784,818.8085581988718,93.94204910200004,0.0,2929.6866498243826,1.3514534830560831,False,93.94204910200004,4.553266696016445,2167.8026796724944,3959.335227168069,4.553266696016445,7.982992026030994,0.8550336403897749
15,7.750821674869673,36.94574230278456,1187.6935606411146,15.464322207908578,0.0,21077.742479578763,8.506929623959051,False,15.464322207908578,2.8011957493513964,2477.7141616995305,179306.8719057087,2.8011957493513964,9.956020346206948,2.2520209667996944
16,19.377124707590276,80.08371825052734,816.5032345500523,16.282295484961676,0.0,20604.848077247472,5.372641529703116,False,16.282295484961676,2.8496825951182947,3835.142197406918,110702.46249304316,2.8496825951182947,9.933330201734336,1.8520140664688383
17,14.871688796655762,28.56856637728248,1128.6532479819314,17.12312780056047,0.0,21063.28947790389,7.694819638556996,False,17.12312780056047,2.8971889016433896,2737.3333918091007,162078.21352718578,2.8971889016433896,9.955334443861048,2.1627274044694254
18,28.14247332595274,48.09768034428048,950.3999057164692,25.74416492330971,0.0,15016.36251633692,4.801807317148955,False,25.74416492330971,3.2863163158393496,3127.23072737164,72105.67940790793,3.2863163158393496,9.616962311785585,1.7581694754181734
19,15.91975924478789,21.42720254885129,708.7150534976998,25.16749314529873,0.0,14467.124204856716,3.655594269672589,False,25.16749314529873,3.264517920792104,3957.528976163834,52885.936341915825,3.264517920792104,9.579703177833087,1.5380695652387606
20,10.876962986647085,89.38300813194259,1427.9082848304863,4.932297255379221,0.0,28926.154526377457,14.335048141867633,False,4.932297255379221,1.7804115335021968,2017.8622507748748,414657.8176947232,1.7804115335021968,10.27253603593879,2.7301409369070733
