sample_id,temperature_C,humidity_percent,load_current_A,distance_from_line_m,vertical_distance_m,E_field_V_m,H_field_A_m
1,0.7131827572510437,0.510969423686869,0.2580333885036558,0.8312465788573895,0.9369578637140763,0.023209654035270175,0.0049715302469498755
2,0.5920329640840253,0.856276129776964,0.687310133708331,0.08151775785700228,0.0,0.04421000425300222,0.17961232033412786
3,0.7419876960747653,0.3760127876424015,0.22292459815662075,0.9602446609327739,0.0,0.005608579629346032,0.009022858697479767
4,0.90899717327037,0.6321594899361482,0.7335628451796085,0.9275125060122296,0.0,0.0031004684495224586,0.023152200891529116
5,0.573737947377076,0.6245023626140332,0.5516849728632305,0.5405146628017905,0.0,0.007365674201310089,0.03892067904772701
6,0.573741079782483,0.7963081629171267,0.4518963442293912,0.03947234658391905,0.0,0.04907589139709716,0.17186005793406314
7,0.9197165194616721,0.11711267603099194,0.4123794500456125,0.5869641221687916,0.0,0.00847967405906668,0.021812623933009916
8,0.7648344969118007,0.11773563321915016,0.44580603275855024,0.912360964537215,0.0,0.004763526083116271,0.009053212155044744
9,0.5288402163621733,0.37872588066106233,0.9819937791412631,0.0020852976017529537,0.0,0.06258356073889916,0.36690405382756963
10,0.7219298574464953,0.47454693930028613,0.5661930131099135,0.02118125257017432,0.30804755234882136,0.10199749504630899,0.2720078772711129
11,0.5299957943416033,0.5301676117254589,0.12108661854394531,0.9661540843312661,0.0,0.008063541062549808,0.005084014689422965
12,0.5295546680628274,0.28084231161993195,0.6482726582508962,0.030278810656298935,0.0,0.05823119457848557,0.2281060409446762
13,0.6645777415332534,0.09030993775533254,0.7546434154981052,0.3557241088154618,0.0,0.01217096498816541,0.05713517102256259
14,0.25337137170220625,0.9638902240620145,0.4760065832299013,0.46839099971417875,0.0,0.0056593359451399625,0.030824972518312926
15,0.2893097049188216,0.3723219737351355,0.759764277416242,0.07500862497957672,0.0,0.041068379390362605,0.19599538318593568
16,0.5111320673050795,0.8088312966282083,0.47423325734619404,0.07910884911872439,0.0,0.04014570543596041,0.12364636804219085
17,0.4251712563292529,0.28755407930664406,0.7143486522937934,0.08332365790785042,0.0,0.041040179842762564,0.1772493854137724
18,0.6783692649071188,0.4851674380039244,0.5772306967049763,0.12653800916701757,0.0,0.02924189679245574,0.11046975764561119
19,0.44516776442796613,0.21529125703009971,0.39131927192130755,0.12364734805265412,0.0,0.028170266673206407,0.08401163298189483
20,0.3489544646485592,0.9029299797569742,0.9445448344849895,0.022215136297350183,0.0,0.05638157688920813,0.33052629490539814
21,0.8980492319112644,0.3538759473588449,0.9999999999999999,0.03468659331020679,0.0,0.06182292743031921,0.3360504911225341
22,0.5753362391056352,0.17240714246801947,0.8282266364894351,0.08388219209562278,0.23079332641149045,0.05726803689468807,0.21875620985398048
23,0.631296846749548,0.8405485882727366,0.5241430136813608,0.11793611345683824,0.0,0.03464874619493443,0.11145842414762315
24,0.3465801372062194,0.36668491247653556,0.47533446951929437,0.04908399681988287,0.0,0.048757777263315726,0.1643204301617364
25,0.5145481885509676,0.8013275570848177,0.5670244631848568,0.13847101405472384,0.0,0.026049985243171044,0.11074207644491671
26,0.6395762154988189,0.5025428417416619,0.7237590857556613,0.4739695886310096,0.1722867115799644,0.012926600986398404,0.045952283749445245
27,0.39881075072564853,0.0803481548567009,0.4574149558338656,0.08040234954463424,0.205704948881474,0.056266940795555685,0.13131419278051648
28,0.6900936593642785,0.846782061588609,0.7860074733797243,0.10752563334467062,0.0,0.03310310462895507,0.16356317613142138
29,0.5038149132296441,0.3310457916872738,0.6635653569966311,0.08261343143212206,0.07295252640900439,0.04241285958862146,0.18156304210471116
30,0.5627596149745197,0.5899245731276447,0.5459666217826867,0.5674907170277221,0.0,0.00646636541600281,0.02632587340167993
31,0.503611160541353,0.540469499809901,0.6208967359956619,0.6840684332379021,0.8904811330002103,0.023425273551904113,0.03114379767240423
32,0.9718156304751446,0.2634828136142327,0.3799349463848293,0.5880086105831828,0.0,0.007689733511109204,0.024457141166470717
